,r_fighter,b_fighter,r_odds,b_odds,date_x,location,country,winner_x,title_bout,weight_class,gender,winner_resolved,location_resolved,r_reach,r_height,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date_y,winner_y,reach_win,height_win
1449,adam milstead,curtis blaydes,325,-400,2017-02-04,"Houston, Texas, USA", usa,Draw,FALSE,Heavyweight,male,,"houston, texas",76,6'3,80,6'4,overturned,2,3 rnd (5-5-5),00:05:59,keith peterson,2017-02-04,marcel fortuna,False,False
1450,chas skelly,chris gruetzemacher,-350,290,2017-02-04,"Houston, Texas, USA", usa,Red,FALSE,Featherweight,male,,"houston, texas",72,5'11,68,5'8,submission,2,3 rnd (5-5-5),00:07:01,keith peterson,2017-02-04,chas skelly,True,True
1451,ricardo ramos,michinori tanaka,105,-125,2017-02-04,"Houston, Texas, USA", usa,Red,FALSE,Bantamweight,male,,"houston, texas",72,5'9,67,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-02-04,ricardo ramos,True,True
1452,tecia torres,bec rawlings,-450,317,2017-02-04,"Houston, Texas, USA", usa,Red,FALSE,Women's Strawweight,female,,"houston, texas",60,5'1,64,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-02-04,tecia torres,False,False
1453,alex morono,niko price,-105,-115,2017-02-04,"Houston, Texas, USA", usa,Draw,FALSE,Welterweight,male,,"houston, texas",72,5'11,76,6'0,overturned,2,3 rnd (5-5-5),00:10:00,keith peterson,2017-02-04,khalil rountree jr.,False,False
1454,daniel jolly,khalil rountree jr.,145,-185,2017-02-04,"Houston, Texas, USA", usa,Blue,FALSE,Light Heavyweight,male,,"houston, texas",75,6'1,76,6'1,ko/tko,1,3 rnd (5-5-5),00:00:52,keith peterson,2017-02-04,khalil rountree jr.,True,False
1455,valentina shevchenko,julianna pena,-185,160,2017-01-28,"Denver, Colorado, USA", usa,Red,FALSE,Women's Bantamweight,female,,"denver, colorado",66,5'5,69,5'6,submission,2,5 rnd (5-5-5-5-5),00:09:29,keith peterson,2017-01-28,valentina shevchenko,False,False
1456,donald cerrone,jorge masvidal,-175,155,2017-01-28,"Denver, Colorado, USA", usa,Blue,FALSE,Welterweight,male,,"denver, colorado",73,6'1,74,5'11,ko/tko,2,3 rnd (5-5-5),00:06:00,keith peterson,2017-01-28,jorge masvidal,True,False
1457,andrei arlovski,francis ngannou,335,-420,2017-01-28,"Denver, Colorado, USA", usa,Blue,FALSE,Heavyweight,male,,"denver, colorado",77,6'3,83,6'4,ko/tko,1,3 rnd (5-5-5),00:01:32,keith peterson,2017-01-28,francis ngannou,True,True
1458,alex caceres,jason knight,115,-135,2017-01-28,"Denver, Colorado, USA", usa,Blue,FALSE,Featherweight,male,,"denver, colorado",73,5'10,71,5'10,submission,2,3 rnd (5-5-5),00:09:21,keith peterson,2017-01-28,jason knight,False,False
1459,nate marquardt,sam alvey,120,-140,2017-01-28,"Denver, Colorado, USA", usa,Blue,FALSE,Middleweight,male,,"denver, colorado",74,6'0,75,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-28,sam alvey,True,True
1460,raphael assuncao,aljamain sterling,-145,125,2017-01-28,"Denver, Colorado, USA", usa,Red,FALSE,Bantamweight,male,,"denver, colorado",66,5'5,71,5'7,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-28,raphael assuncao,False,False
1461,bobby nash,li jingliang,110,-130,2017-01-28,"Denver, Colorado, USA", usa,Blue,FALSE,Welterweight,male,,"denver, colorado",74,6'0,71,6'0,ko/tko,2,3 rnd (5-5-5),00:09:45,keith peterson,2017-01-28,li jingliang,False,False
1462,henrique da silva,jordan johnson,165,-190,2017-01-28,"Denver, Colorado, USA", usa,Blue,FALSE,Light Heavyweight,male,,"denver, colorado",76,6'3,79,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-28,jordan johnson,True,False
1463,eric spicely,alessio di chirico,-110,-110,2017-01-28,"Denver, Colorado, USA", usa,Red,FALSE,Middleweight,male,,"denver, colorado",73,6'1,74,6'0,submission,1,3 rnd (5-5-5),00:02:14,keith peterson,2017-01-28,eric spicely,False,True
1464,marcos rogerio de lima,jeremy kimball,-130,110,2017-01-28,"Denver, Colorado, USA", usa,Red,FALSE,Light Heavyweight,male,,"denver, colorado",75,6'1,72,6'0,ko/tko,1,3 rnd (5-5-5),00:02:27,keith peterson,2017-01-28,marcos rogerio de lima,True,True
1465,alexandre pantoja,eric shelton,100,-120,2017-01-28,"Denver, Colorado, USA", usa,Red,FALSE,Flyweight,male,,"denver, colorado",67,5'5,68,5'6,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-28,alexandre pantoja,False,False
1466,yair rodriguez,bj penn,-350,290,2017-01-15,"Phoenix, Arizona, USA", usa,Red,FALSE,Featherweight,male,,"phoenix, arizona",71,5'11,70,5'9,ko/tko,2,5 rnd (5-5-5-5-5),00:05:24,keith peterson,2017-01-15,yair rodriguez,True,True
1467,joe lauzon,marcin held,-140,120,2017-01-15,"Phoenix, Arizona, USA", usa,Red,FALSE,Lightweight,male,,"phoenix, arizona",71,5'10,71,5'9,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-15,joe lauzon,True,True
1468,court mcgee,ben saunders,-135,115,2017-01-15,"Phoenix, Arizona, USA", usa,Blue,FALSE,Welterweight,male,,"phoenix, arizona",75,5'11,77,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-15,ben saunders,True,True
1469,john moraga,sergio pettis,140,-160,2017-01-15,"Phoenix, Arizona, USA", usa,Blue,FALSE,Flyweight,male,,"phoenix, arizona",66,5'6,69,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-15,sergio pettis,True,False
1470,devin powell,drakkar klose,260,-320,2017-01-15,"Phoenix, Arizona, USA", usa,Blue,FALSE,Lightweight,male,,"phoenix, arizona",73,6'0,70,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-15,drakkar klose,False,False
1471,frankie saenz,augusto mendes,-160,140,2017-01-15,"Phoenix, Arizona, USA", usa,Blue,FALSE,Bantamweight,male,,"phoenix, arizona",66,5'6,65,5'6,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-15,augusto mendes,False,False
1472,aleksei oleinik,viktor pesta,-140,120,2017-01-15,"Phoenix, Arizona, USA", usa,Red,FALSE,Heavyweight,male,,"phoenix, arizona",80,6'2,77,6'3,submission,1,3 rnd (5-5-5),00:02:57,keith peterson,2017-01-15,aleksei oleinik,True,False
1473,anthony rocco martin,alex white,-170,150,2017-01-15,"Phoenix, Arizona, USA", usa,Red,FALSE,Lightweight,male,,"phoenix, arizona",73,6'0,71,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2017-01-15,anthony rocco martin,True,True
1474,jocelyn jones-lybarger,nina ansaroff,135,-175,2017-01-15,"Phoenix, Arizona, USA", usa,Blue,FALSE,Women's Strawweight,female,,"phoenix, arizona",64,5'7,64,5'5,submission,3,3 rnd (5-5-5),00:13:39,keith peterson,2017-01-15,nina ansaroff,False,False
1475,walt harris,chase sherman,-155,135,2017-01-15,"Phoenix, Arizona, USA", usa,Red,FALSE,Heavyweight,male,,"phoenix, arizona",77,6'5,78,6'4,ko/tko,2,3 rnd (5-5-5),00:07:41,keith peterson,2017-01-15,walt harris,False,True
1476,bojan mihajlovic,joachim christensen,210,-250,2017-01-15,"Phoenix, Arizona, USA", usa,Blue,FALSE,Light Heavyweight,male,,"phoenix, arizona",73,5'11,76,6'3,ko/tko,3,3 rnd (5-5-5),00:12:05,keith peterson,2017-01-15,joachim christensen,True,True
1477,dmitrii smoliakov,cyril asker,100,-120,2017-01-15,"Phoenix, Arizona, USA", usa,Blue,FALSE,Heavyweight,male,,"phoenix, arizona",74,6'2,74,6'0,ko/tko,1,3 rnd (5-5-5),00:02:41,keith peterson,2017-01-15,cyril asker,False,False
1478,amanda nunes,ronda rousey,165,-190,2016-12-30,"Las Vegas, Nevada, USA", usa,Red,TRUE,Women's Bantamweight,female,,"las vegas, nevada",69,5'8,66,5'7,ko/tko,1,5 rnd (5-5-5-5-5),00:00:48,keith peterson,2016-12-30,amanda nunes,True,True
1479,dominick cruz,cody garbrandt,-245,205,2016-12-30,"Las Vegas, Nevada, USA", usa,Blue,TRUE,Bantamweight,male,,"las vegas, nevada",68,5'8,65,5'8,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2016-12-30,cody garbrandt,False,False
1480,tj dillashaw,john lineker,-230,190,2016-12-30,"Las Vegas, Nevada, USA", usa,Red,FALSE,Bantamweight,male,,"las vegas, nevada",67,5'6,67,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-30,tj dillashaw,True,True
1481,dong hyun kim,tarec saffiedine,-145,125,2016-12-30,"Las Vegas, Nevada, USA", usa,Red,FALSE,Welterweight,male,,"las vegas, nevada",76,6'2,70,5'10,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-30,dong hyun kim,True,True
1482,louis smolka,ray borg,120,-140,2016-12-30,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Flyweight,male,,"las vegas, nevada",68,5'9,63,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-30,ray borg,False,False
1483,johny hendricks,neil magny,170,-200,2016-12-30,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Welterweight,male,,"las vegas, nevada",69,5'9,80,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-30,neil magny,True,True
1484,antonio carlos junior,marvin vettori,-120,100,2016-12-30,"Las Vegas, Nevada, USA", usa,Red,FALSE,Middleweight,male,,"las vegas, nevada",79,6'2,74,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-30,antonio carlos junior,True,True
1485,mike pyle,alex garcia,180,-220,2016-12-30,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Welterweight,male,,"las vegas, nevada",74,6'0,72,5'9,ko/tko,1,3 rnd (5-5-5),00:03:34,keith peterson,2016-12-30,alex garcia,False,False
1486,brandon thatch,niko price,-155,135,2016-12-30,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Welterweight,male,,"las vegas, nevada",74,6'2,76,6'0,submission,1,3 rnd (5-5-5),00:04:30,keith peterson,2016-12-30,niko price,True,False
1487,paige vanzant,michelle waterson,-110,-110,2016-12-17,"Sacramento, California, USA", usa,Blue,FALSE,Women's Strawweight,female,,"sacramento, california",65,5'4,62,5'3,submission,1,5 rnd (5-5-5-5-5),00:03:21,keith peterson,2016-12-17,michelle waterson,False,False
1488,sage northcutt,mickey gall,140,-160,2016-12-17,"Sacramento, California, USA", usa,Blue,FALSE,Welterweight,male,,"sacramento, california",71,6'0,74,6'2,submission,2,3 rnd (5-5-5),00:06:40,keith peterson,2016-12-17,mickey gall,True,True
1489,urijah faber,brad pickett,-340,280,2016-12-17,"Sacramento, California, USA", usa,Red,FALSE,Bantamweight,male,,"sacramento, california",67,5'6,68,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,urijah faber,False,True
1490,alan jouban,mike perry,125,-145,2016-12-17,"Sacramento, California, USA", usa,Red,FALSE,Welterweight,male,,"sacramento, california",73,6'0,71,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,alan jouban,True,True
1491,henrique da silva,paul craig,-230,190,2016-12-17,"Sacramento, California, USA", usa,Blue,FALSE,Light Heavyweight,male,,"sacramento, california",76,6'3,76,6'3,submission,2,3 rnd (5-5-5),00:06:59,keith peterson,2016-12-17,paul craig,False,False
1492,cole miller,mizuto hirota,-115,-105,2016-12-17,"Sacramento, California, USA", usa,Blue,FALSE,Featherweight,male,,"sacramento, california",73,6'1,67,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,mizuto hirota,False,False
1493,bryan barberena,colby covington,300,-360,2016-12-17,"Sacramento, California, USA", usa,Blue,FALSE,Welterweight,male,,"sacramento, california",72,6'0,72,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,colby covington,False,True
1494,james moontasri,alex morono,-135,115,2016-12-17,"Sacramento, California, USA", usa,Blue,FALSE,Welterweight,male,,"sacramento, california",71,5'10,72,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,alex morono,True,True
1495,josh emmett,scott holtzman,-195,168,2016-12-17,"Sacramento, California, USA", usa,Red,FALSE,Lightweight,male,,"sacramento, california",70,5'6,69,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,josh emmett,True,False
1496,leslie smith,irene aldana,255,-310,2016-12-17,"Sacramento, California, USA", usa,Red,FALSE,Women's Bantamweight,female,,"sacramento, california",66,5'9,68,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,leslie smith,False,True
1497,eddie wineland,takeya mizugaki,-170,150,2016-12-17,"Sacramento, California, USA", usa,Red,FALSE,Bantamweight,male,,"sacramento, california",69,5'7,69,5'7,ko/tko,1,3 rnd (5-5-5),00:03:04,keith peterson,2016-12-17,eddie wineland,True,True
1498,hector sandoval,fredy serrano,-125,105,2016-12-17,"Sacramento, California, USA", usa,Red,FALSE,Flyweight,male,,"sacramento, california",64,5'2,65,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,hector sandoval,False,False
1499,bojan velickovic,sultan aliev,-160,140,2016-12-17,"Sacramento, California, USA", usa,Blue,FALSE,Welterweight,male,,"sacramento, california",76,6'0,74,5'11,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-17,sultan aliev,False,True
1500,max holloway,anthony pettis,-300,250,2016-12-10,"Toronto, Ontario, Canada", canada,Red,TRUE,Featherweight,male,,"toronto, ontario",69,5'11,72,5'10,ko/tko,3,5 rnd (5-5-5-5-5),00:14:50,keith peterson,2016-12-10,max holloway,False,True
1501,donald cerrone,matt brown,-300,250,2016-12-10,"Toronto, Ontario, Canada", canada,Red,FALSE,Welterweight,male,,"toronto, ontario",73,6'1,75,6'0,ko/tko,3,3 rnd (5-5-5),00:10:34,keith peterson,2016-12-10,donald cerrone,False,True
1502,cub swanson,dooho choi,195,-235,2016-12-10,"Toronto, Ontario, Canada", canada,Red,FALSE,Featherweight,male,,"toronto, ontario",70,5'8,70,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-10,cub swanson,True,False
1503,tim kennedy,kelvin gastelum,-125,105,2016-12-10,"Toronto, Ontario, Canada", canada,Blue,FALSE,Middleweight,male,,"toronto, ontario",74,5'11,71,5'9,ko/tko,3,3 rnd (5-5-5),00:12:45,keith peterson,2016-12-10,kelvin gastelum,False,False
1504,jordan mein,emil meek,-170,150,2016-12-10,"Toronto, Ontario, Canada", canada,Blue,FALSE,Welterweight,male,,"toronto, ontario",73,6'0,74,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-10,emil meek,True,True
1505,nikita krylov,misha cirkunov,-115,-105,2016-12-10,"Toronto, Ontario, Canada", canada,Blue,FALSE,Light Heavyweight,male,,"toronto, ontario",77,6'3,77,6'3,submission,1,3 rnd (5-5-5),00:04:38,keith peterson,2016-12-10,misha cirkunov,False,False
1506,olivier aubin-mercier,drew dober,-185,160,2016-12-10,"Toronto, Ontario, Canada", canada,Red,FALSE,Lightweight,male,,"toronto, ontario",70,5'9,70,5'8,submission,2,3 rnd (5-5-5),00:07:57,keith peterson,2016-12-10,olivier aubin-mercier,True,True
1507,valerie letourneau,viviane pereira,-120,100,2016-12-10,"Toronto, Ontario, Canada", canada,Blue,FALSE,Women's Strawweight,female,,"toronto, ontario",68,5'7,63,5'1,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-10,viviane pereira,False,False
1508,mitch gagnon,matthew lopez,-130,110,2016-12-10,"Toronto, Ontario, Canada", canada,Blue,FALSE,Bantamweight,male,,"toronto, ontario",65,5'5,69,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-10,matthew lopez,True,True
1509,john makdessi,lando vannata,135,-155,2016-12-10,"Toronto, Ontario, Canada", canada,Blue,FALSE,Lightweight,male,,"toronto, ontario",68,5'8,71,5'9,ko/tko,1,3 rnd (5-5-5),00:01:40,keith peterson,2016-12-10,lando vannata,True,True
1510,jason saggo,rustam khabilov,180,-220,2016-12-10,"Toronto, Ontario, Canada", canada,Blue,FALSE,Lightweight,male,,"toronto, ontario",71,5'11,73,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-10,rustam khabilov,True,False
1511,zach makovsky,dustin ortiz,-130,110,2016-12-10,"Toronto, Ontario, Canada", canada,Blue,FALSE,Flyweight,male,,"toronto, ontario",64,5'4,65,5'5,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-10,dustin ortiz,True,True
1512,derrick lewis,shamil abdurakhimov,-250,210,2016-12-09,"Albany, New York, USA", usa,Red,FALSE,Heavyweight,male,,"albany, new york",79,6'3,76,6'3,ko/tko,4,5 rnd (5-5-5-5-5),00:18:42,keith peterson,2016-12-09,derrick lewis,True,True
1513,francis ngannou,anthony hamilton,-440,350,2016-12-09,"Albany, New York, USA", usa,Red,FALSE,Heavyweight,male,,"albany, new york",83,6'4,76,6'5,submission,1,3 rnd (5-5-5),00:01:57,keith peterson,2016-12-09,francis ngannou,True,False
1514,corey anderson,sean o'connell,-400,325,2016-12-09,"Albany, New York, USA", usa,Red,FALSE,Light Heavyweight,male,,"albany, new york",79,6'3,74,6'1,ko/tko,2,3 rnd (5-5-5),00:07:36,keith peterson,2016-12-09,corey anderson,True,True
1515,gian villante,saparbeg safarov,-190,165,2016-12-09,"Albany, New York, USA", usa,Red,FALSE,Light Heavyweight,male,,"albany, new york",76,6'3,78,6'1,ko/tko,2,3 rnd (5-5-5),00:07:54,keith peterson,2016-12-09,gian villante,False,True
1516,justine kish,ashley yoder,-230,190,2016-12-09,"Albany, New York, USA", usa,Red,FALSE,Women's Strawweight,female,,"albany, new york",64,5'5,69,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-09,justine kish,False,False
1517,randy brown,brian camozzi,-150,130,2016-12-09,"Albany, New York, USA", usa,Red,FALSE,Welterweight,male,,"albany, new york",78,6'3,78,6'2,ko/tko,2,3 rnd (5-5-5),00:06:25,keith peterson,2016-12-09,randy brown,True,True
1518,andrew sanchez,trevor smith,-200,170,2016-12-09,"Albany, New York, USA", usa,Red,FALSE,Middleweight,male,,"albany, new york",74,6'1,75,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-09,andrew sanchez,False,False
1519,frankie perez,marc diakiese,220,-260,2016-12-09,"Albany, New York, USA", usa,Blue,FALSE,Lightweight,male,,"albany, new york",73,5'11,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-09,marc diakiese,False,False
1520,juliana lima,jj aldrich,-230,190,2016-12-09,"Albany, New York, USA", usa,Red,FALSE,Women's Strawweight,female,,"albany, new york",65,5'5,67,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-09,juliana lima,False,True
1521,demetrious johnson,tim elliott,-900,600,2016-12-03,"Las Vegas, Nevada, USA", usa,Red,TRUE,Flyweight,male,,"las vegas, nevada",66,5'3,66,5'7,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2016-12-03,demetrious johnson,True,False
1522,joseph benavidez,henry cejudo,-200,163,2016-12-03,"Las Vegas, Nevada, USA", usa,Red,FALSE,Flyweight,male,,"las vegas, nevada",65,5'4,64,5'4,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-03,joseph benavidez,True,True
1523,jake ellenberger,jorge masvidal,175,-210,2016-12-03,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Welterweight,male,,"las vegas, nevada",71,5'9,74,5'11,ko/tko,1,3 rnd (5-5-5),00:04:05,keith peterson,2016-12-03,jorge masvidal,True,True
1524,ion cutelaba,jared cannonier,-230,190,2016-12-03,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Light Heavyweight,male,,"las vegas, nevada",75,6'1,77,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-03,jared cannonier,True,False
1525,sara mcmann,alexis davis,-155,135,2016-12-03,"Las Vegas, Nevada, USA", usa,Red,FALSE,Women's Bantamweight,female,,"las vegas, nevada",66,5'6,68,5'6,submission,2,3 rnd (5-5-5),00:07:52,keith peterson,2016-12-03,sara mcmann,False,True
1526,brandon moreno,ryan benoit,-190,165,2016-12-03,"Las Vegas, Nevada, USA", usa,Red,FALSE,Flyweight,male,,"las vegas, nevada",70,5'7,68,5'5,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-03,brandon moreno,True,True
1527,gray maynard,ryan hall,145,-165,2016-12-03,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Featherweight,male,,"las vegas, nevada",70,5'9,70,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-03,ryan hall,False,True
1528,rob font,matt schnell,-270,230,2016-12-03,"Las Vegas, Nevada, USA", usa,Red,FALSE,Bantamweight,male,,"las vegas, nevada",71,5'8,70,5'8,ko/tko,1,3 rnd (5-5-5),00:03:47,keith peterson,2016-12-03,rob font,True,True
1529,dong hyun ma,brendan o'reilly,-150,130,2016-12-03,"Las Vegas, Nevada, USA", usa,Red,FALSE,Lightweight,male,,"las vegas, nevada",70,5'11,69,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-03,dong hyun ma,True,True
1530,kailin curran,jamie moyle,-120,100,2016-12-03,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Women's Strawweight,female,,"las vegas, nevada",65,5'4,65,5'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-03,jamie moyle,False,False
1531,elvis mutapcic,anthony smith,-105,-115,2016-12-03,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Middleweight,male,,"las vegas, nevada",72,6'0,76,6'4,ko/tko,2,3 rnd (5-5-5),00:08:27,keith peterson,2016-12-03,anthony smith,True,True
1532,josh stansbury,devin clark,-105,-115,2016-12-03,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Light Heavyweight,male,,"las vegas, nevada",74,6'2,75,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-12-03,devin clark,True,False
1533,robert whittaker,derek brunson,100,-120,2016-11-26,"Melbourne, Victoria, Australia", australia,Red,FALSE,Middleweight,male,,"melbourne, victoria",73,6'0,77,6'1,ko/tko,1,5 rnd (5-5-5-5-5),00:04:07,keith peterson,2016-11-26,robert whittaker,False,False
1534,jake matthews,andrew holbrook,-550,425,2016-11-26,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Lightweight,male,,"melbourne, victoria",73,5'11,70,5'11,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-26,andrew holbrook,False,False
1535,kyle noke,omari akhmedov,-110,-110,2016-11-26,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Welterweight,male,,"melbourne, victoria",76,6'1,73,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-26,omari akhmedov,False,False
1536,khalil rountree jr.,tyson pedro,-105,-115,2016-11-26,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Light Heavyweight,male,,"melbourne, victoria",76,6'1,79,6'3,submission,1,3 rnd (5-5-5),00:04:07,keith peterson,2016-11-26,tyson pedro,True,True
1537,daniel kelly,chris camozzi,165,-190,2016-11-26,"Melbourne, Victoria, Australia", australia,Red,FALSE,Middleweight,male,,"melbourne, victoria",70,6'0,75,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-26,daniel kelly,False,False
1538,damien brown,jon tuck,130,-150,2016-11-26,"Melbourne, Victoria, Australia", australia,Red,FALSE,Lightweight,male,,"melbourne, victoria",68,5'10,73,5'11,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-26,damien brown,False,False
1539,ben nguyen,geane herrera,-140,120,2016-11-26,"Melbourne, Victoria, Australia", australia,Red,FALSE,Flyweight,male,,"melbourne, victoria",65,5'5,66,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-26,ben nguyen,False,True
1540,dan hooker,jason knight,-145,125,2016-11-26,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Featherweight,male,,"melbourne, victoria",75,6'0,71,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-26,jason knight,False,False
1541,yao zhikui,jenel lausa,115,-135,2016-11-26,"Melbourne, Victoria, Australia", australia,Blue,FALSE,Flyweight,male,,"melbourne, victoria",64,5'5,68,5'5,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-26,jenel lausa,True,False
1542,ryan bader,rogerio nogueira,-340,280,2016-11-19,"Sao Paulo, Sao Paulo, Brazil", brazil,Red,FALSE,Light Heavyweight,male,,"sao paulo, sao paulo",74,6'2,75,6'2,ko/tko,3,5 rnd (5-5-5-5-5),00:13:51,keith peterson,2016-11-19,ryan bader,False,True
1543,thomas almeida,albert morales,-300,250,2016-11-19,"Sao Paulo, Sao Paulo, Brazil", brazil,Red,FALSE,Bantamweight,male,,"sao paulo, sao paulo",70,5'7,72,5'9,ko/tko,2,3 rnd (5-5-5),00:06:37,keith peterson,2016-11-19,thomas almeida,False,False
1544,claudia gadelha,cortney casey,-460,365,2016-11-19,"Sao Paulo, Sao Paulo, Brazil", brazil,Red,FALSE,Women's Strawweight,female,,"sao paulo, sao paulo",63,5'4,67,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-19,claudia gadelha,False,False
1545,thales leites,krzysztof jotko,-135,115,2016-11-19,"Sao Paulo, Sao Paulo, Brazil", brazil,Blue,FALSE,Middleweight,male,,"sao paulo, sao paulo",78,6'1,77,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-19,krzysztof jotko,False,False
1546,warlley alves,kamaru usman,175,-210,2016-11-19,"Sao Paulo, Sao Paulo, Brazil", brazil,Blue,FALSE,Welterweight,male,,"sao paulo, sao paulo",72,5'11,76,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-19,kamaru usman,True,False
1547,sergio moraes,zak ottow,-150,130,2016-11-19,"Sao Paulo, Sao Paulo, Brazil", brazil,Red,FALSE,Welterweight,male,,"sao paulo, sao paulo",72,6'0,72,5'11,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2016-11-19,sergio moraes,True,False
1548,cezar ferreira,jack hermansson,110,-130,2016-11-19,"Sao Paulo, Sao Paulo, Brazil", brazil,Red,FALSE,Middleweight,male,,"sao paulo, sao paulo",78,6'1,77,6'1,submission,2,3 rnd (5-5-5),00:07:11,keith peterson,2016-11-19,cezar ferreira,True,True
1549,marcos rogerio de lima,gadzhimurad antigulov,-165,145,2016-11-19,"Sao Paulo, Sao Paulo, Brazil", brazil,Blue,FALSE,Light Heavyweight,male,,"sao paulo, sao paulo",75,6'1,70,5'11,submission,1,3 rnd (5-5-5),00:01:07,keith peterson,2016-11-19,gadzhimurad antigulov,False,False
