,r_fighter,b_fighter,r_odds,b_odds,date_x,location,country,winner_x,title_bout,weight_class,gender,winner_resolved,location_resolved,r_reach,r_height,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date_y,winner_y,reach_win,height_win
3560,matthew riddle,sean pierson,-250,210,2010-12-11,"Montreal, Quebec, Canada", canada,Blue,FALSE,Welterweight,male,,"montreal, quebec",76,6'1,76,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-11,sean pierson,False,False
3561,tj grant,ricardo almeida,130,-150,2010-12-11,"Montreal, Quebec, Canada", canada,Blue,FALSE,Welterweight,male,,"montreal, quebec",72,5'10,74,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-11,ricardo almeida,True,False
3562,jonathan brookins,michael johnson,-230,190,2010-12-04,"Las Vegas, Nevada, USA", usa,Red,TRUE,Lightweight,male,,"las vegas, nevada",74,6'0,73,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-04,jonathan brookins,True,True
3563,stephan bonnar,igor pokrajac,-240,220,2010-12-04,"Las Vegas, Nevada, USA", usa,Red,FALSE,Light Heavyweight,male,,"las vegas, nevada",79,6'4,74,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-04,stephan bonnar,True,True
3564,kendall grove,demian maia,265,-295,2010-12-04,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Middleweight,male,,"las vegas, nevada",79,6'6,72,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-04,demian maia,False,False
3565,johny hendricks,rick story,-178,167,2010-12-04,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Welterweight,male,,"las vegas, nevada",69,5'9,71,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-04,rick story,True,False
3566,nam phan,leonard garcia,165,-190,2010-12-04,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Featherweight,male,,"las vegas, nevada",70,5'6,68,5'10,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-04,leonard garcia,False,True
3567,will campuzano,nick pace,-120,100,2010-12-04,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Bantamweight,male,,"las vegas, nevada",70,5'9,68,5'7,submission,3,3 rnd (5-5-5),00:14:33,keith peterson,2010-12-04,nick pace,False,False
3568,fredson paixao,pablo garza,-190,165,2010-12-04,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Featherweight,male,,"las vegas, nevada",66,5'6,73,6'1,ko/tko,1,3 rnd (5-5-5),00:00:51,keith peterson,2010-12-04,pablo garza,True,True
3569,rich attonito,david branch,140,-160,2010-12-04,"Las Vegas, Nevada, USA", usa,Blue,FALSE,Middleweight,male,,"las vegas, nevada",72,5'10,78,6'1,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2010-12-04,david branch,True,True
