"index","r_odds","b_odds","weight_class"
410,-160,140,"Middleweight"
411,-220,180,"Women's Featherweight"
412,-1100,700,"Welterweight"
413,-420,335,"Lightweight"
414,-550,425,"Lightweight"
415,-260,220,"Women's Bantamweight"
416,-900,600,"Lightweight"
417,-250,210,"Welterweight"
418,145,-165,"Featherweight"
419,-260,220,"Light Heavyweight"
420,170,-200,"Middleweight"
421,-800,550,"Featherweight"
422,120,-140,"Women's Strawweight"
423,-135,115,"Middleweight"
424,-145,125,"Featherweight"
425,-125,105,"Welterweight"
426,-400,325,"Women's Bantamweight"
427,105,-125,"Light Heavyweight"
428,-125,105,"Lightweight"
429,-135,115,"Welterweight"
430,525,-750,"Lightweight"
431,-170,150,"Women's Flyweight"
432,-1100,700,"Bantamweight"
433,-280,240,"Women's Bantamweight"
434,-130,110,"Lightweight"
435,-110,-110,"Middleweight"
436,160,-185,"Featherweight"
437,140,-160,"Bantamweight"
438,-165,145,"Heavyweight"
439,140,-160,"Middleweight"
440,-700,500,"Women's Bantamweight"
441,-175,155,"Bantamweight"
442,-420,335,"Welterweight"
443,165,-190,"Featherweight"
444,115,-135,"Heavyweight"
445,-120,100,"Bantamweight"
446,-225,185,"Middleweight"
447,-290,245,"Heavyweight"
448,-165,145,"Welterweight"
449,-120,100,"Light Heavyweight"
450,-155,135,"Bantamweight"
451,-470,375,"Lightweight"
452,190,-230,"Welterweight"
453,145,-165,"Heavyweight"
454,-130,110,"Women's Strawweight"
455,-245,205,"Lightweight"
456,-115,105,"Lightweight"
457,-610,455,"Women's Strawweight"
458,-150,130,"Welterweight"
459,-245,205,"Heavyweight"
460,-320,260,"Lightweight"
461,-300,250,"Heavyweight"
462,270,-330,"Women's Flyweight"
463,-230,190,"Middleweight"
464,-440,350,"Featherweight"
465,-110,-110,"Welterweight"
466,-150,130,"Lightweight"
467,-135,115,"Heavyweight"
468,180,-220,"Light Heavyweight"
469,120,-140,"Lightweight"
470,-220,180,"Lightweight"
471,150,-170,"Middleweight"
472,-185,160,"Light Heavyweight"
473,110,-130,"Welterweight"
474,115,-135,"Light Heavyweight"
475,-165,145,"Lightweight"
476,150,-170,"Flyweight"
477,110,-130,"Welterweight"
478,-175,155,"Bantamweight"
479,135,-155,"Welterweight"
480,-600,450,"Bantamweight"
481,145,-165,"Women's Flyweight"
482,-190,165,"Bantamweight"
483,-120,100,"Lightweight"
484,130,-150,"Middleweight"
485,130,-150,"Featherweight"
486,-160,140,"Women's Strawweight"
487,-185,160,"Light Heavyweight"
488,-145,125,"Featherweight"
489,-350,290,"Women's Strawweight"
490,450,-600,"Lightweight"
491,-125,105,"Featherweight"
492,-225,185,"Middleweight"
493,-230,190,"Bantamweight"
494,-165,145,"Women's Flyweight"
495,-365,328,"Bantamweight"
496,-430,345,"Welterweight"
497,-275,235,"Heavyweight"
498,-300,250,"Lightweight"
499,150,-170,"Flyweight"
500,-225,185,"Featherweight"
501,-275,235,"Women's Flyweight"
502,130,-150,"Featherweight"
503,-170,150,"Bantamweight"
504,-145,125,"Women's Flyweight"
505,135,-155,"Women's Strawweight"
506,260,-320,"Bantamweight"
507,-130,110,"Flyweight"
508,-225,185,"Welterweight"
509,-140,120,"Welterweight"
510,220,-260,"Light Heavyweight"
511,-335,275,"Bantamweight"
