"index","r_odds","b_odds","gender"
1011,155,-175,"male"
1012,100,-120,"male"
1013,-110,-110,"male"
1014,-210,175,"male"
1015,-150,130,"male"
1016,130,-150,"male"
1017,-375,313,"male"
1018,-175,155,"male"
1019,-210,175,"male"
1020,135,-145,"male"
1021,130,-150,"female"
1022,300,-360,"male"
1023,-340,280,"male"
1024,160,-185,"male"
1025,165,-190,"male"
1026,-275,235,"male"
1027,125,-145,"male"
1028,-300,250,"male"
1029,115,-135,"male"
1030,305,-365,"male"
1031,-200,170,"male"
1032,-110,-110,"male"
1033,-160,140,"male"
1034,135,-155,"male"
1035,140,-160,"male"
1036,205,-245,"male"
1037,-1100,700,"female"
1038,-120,100,"male"
1039,150,-170,"male"
1040,165,-190,"male"
1041,-255,215,"male"
1042,173,-205,"male"
1043,-240,200,"male"
1044,350,-440,"female"
1045,-120,100,"male"
1046,110,-130,"male"
1047,120,-140,"male"
1048,-150,130,"male"
1049,425,-550,"male"
1050,-140,120,"male"
1051,155,-175,"male"
1052,-550,425,"male"
1053,-190,165,"female"
1054,-155,135,"female"
1055,-160,140,"female"
1056,110,-130,"male"
1057,-365,305,"male"
1058,170,-200,"male"
1059,150,-170,"male"
1060,-345,285,"male"
1061,190,-230,"male"
1062,-155,135,"male"
1063,-145,125,"male"
1064,120,-140,"male"
1065,168,-195,"male"
1066,-135,115,"male"
1067,120,-140,"male"
1068,245,-290,"male"
1069,-290,245,"male"
1070,145,-165,"male"
1071,-120,100,"female"
1072,-750,525,"male"
1073,175,-210,"male"
1074,-180,158,"male"
1075,-200,185,"male"
1076,115,-135,"female"
1077,-290,245,"male"
1078,115,-135,"female"
1079,110,-130,"female"
1080,165,-190,"male"
1081,-325,265,"female"
1082,-410,330,"male"
1083,165,-190,"male"
1084,-220,180,"female"
1085,-130,110,"male"
1086,-360,300,"male"
1087,-175,155,"male"
1088,-270,230,"male"
1089,170,-200,"male"
1090,-190,165,"male"
1091,105,-125,"male"
1092,-290,245,"male"
1093,-155,135,"male"
1094,125,-145,"male"
1095,-190,165,"male"
1096,-340,280,"male"
1097,-145,125,"male"
1098,-155,135,"male"
1099,125,-145,"male"
1100,-160,140,"male"
1101,-160,140,"male"
1102,100,-120,"male"
1103,-330,270,"male"
1104,-145,135,"male"
1105,-145,125,"male"
1106,-470,375,"male"
1107,105,-125,"male"
1108,105,-125,"female"
1109,-345,285,"male"
1110,335,-420,"male"
1111,165,-190,"male"
1112,155,-175,"male"
1113,325,-400,"male"
1114,230,-270,"male"
1115,-260,220,"male"
1116,210,-230,"male"
1117,-320,260,"male"
1118,150,-170,"male"
1119,-250,210,"female"
1120,-135,115,"male"
1121,-390,320,"male"
1122,-130,110,"male"
1123,-115,-105,"female"
1124,-525,415,"female"
1125,225,-265,"male"
1126,415,-525,"male"
1127,-230,190,"male"
1128,-210,175,"female"
1129,-230,190,"male"
1130,-240,200,"female"
1131,150,-170,"male"
1132,-550,425,"female"
1133,145,-165,"male"
1134,300,-360,"female"
1135,-600,450,"male"
1136,375,-420,"female"
1137,165,-190,"female"
1138,165,-190,"female"
1139,243,-285,"male"
1140,-200,170,"male"
1141,120,-140,"male"
1142,-220,180,"male"
1143,-500,400,"male"
1144,250,-300,"male"
1145,120,-140,"female"
1146,-160,140,"male"
1147,105,-125,"male"
1148,-130,120,"female"
1149,140,-150,"male"
1150,-250,210,"male"
1151,-300,250,"male"
1152,-130,110,"female"
1153,-210,175,"male"
1154,-140,120,"male"
1155,-310,255,"male"
1156,-640,470,"male"
1157,-290,245,"male"
1158,345,-430,"male"
1159,155,-175,"male"
1160,105,-125,"male"
1161,170,-200,"female"
1162,270,-330,"male"
1163,155,-175,"male"
1164,-110,-110,"male"
1165,-350,290,"male"
1166,-320,260,"male"
1167,225,-265,"male"
1168,-370,310,"male"
1169,105,-125,"male"
1170,-125,105,"male"
1171,-285,243,"female"
1172,-190,165,"male"
1173,-170,150,"female"
1174,245,-290,"male"
1175,215,-255,"male"
1176,185,-255,"male"
1177,-120,100,"male"
1178,-210,175,"male"
1179,-700,500,"female"
1180,-190,165,"male"
1181,305,-365,"male"
1182,135,-155,"male"
1183,-370,310,"male"
1184,-175,155,"male"
1185,105,-125,"male"
1186,250,-300,"male"
1187,165,-190,"male"
1188,-145,135,"male"
1189,-120,100,"male"
1190,155,-175,"male"
1191,-220,180,"male"
1192,-110,-110,"male"
1193,-485,385,"male"
1194,-130,110,"male"
1195,-370,330,"male"
1196,135,-155,"male"
1197,-230,190,"male"
1198,125,-145,"male"
1199,-265,225,"male"
1200,-150,130,"male"
1201,-600,450,"female"
1202,130,-150,"male"
1203,-220,180,"male"
1204,-355,295,"male"
1205,-115,-105,"male"
1206,130,-150,"male"
1207,150,-170,"male"
1208,250,-300,"male"
1209,200,-240,"female"
1210,200,-240,"male"
1211,-290,245,"male"
1212,-1000,650,"male"
1213,-210,175,"male"
1214,215,-255,"female"
1215,-230,190,"male"
1216,-160,140,"male"
1217,-175,155,"male"
1218,140,-160,"female"
1219,-125,105,"male"
1220,425,-550,"male"
1221,155,-175,"male"
1222,-430,345,"male"
1223,-290,245,"female"
1224,290,-350,"male"
1225,-200,170,"male"
1226,-155,135,"male"
1227,-420,335,"male"
1228,-110,-110,"male"
1229,-150,130,"female"
1230,215,-255,"male"
1231,100,-120,"male"
1232,-500,400,"male"
1233,-420,335,"male"
